time,x,u
0,0.02,0.156481
0,0.04,0.309396
0,0.06,0.455295
0,0.08,0.590963
0,0.1,0.713525
0,0.12,0.820538
0,0.14,0.910071
0,0.16,0.980767
0,0.18,1.03188
0,0.2,1.06331
0,0.22,1.07558
0,0.24,1.0698
0,0.26,1.04768
0,0.28,1.01139
0,0.3,0.963525
0,0.32,0.906995
0,0.34,0.844911
0,0.36,0.780482
0,0.38,0.716887
0,0.4,0.657164
0,0.42,0.604099
0,0.44,0.560123
0,0.46,0.527226
0,0.48,0.506883
0,0.5,0.5
0,0.52,0.506883
0,0.54,0.527226
0,0.56,0.560123
0,0.58,0.604099
0,0.6,0.657164
0,0.62,0.716887
0,0.64,0.780482
0,0.66,0.844911
0,0.68,0.906995
0,0.7,0.963525
0,0.72,1.01139
0,0.74,1.04768
0,0.76,1.0698
0,0.78,1.07558
0,0.8,1.06331
0,0.82,1.03188
0,0.84,0.980767
0,0.86,0.910071
0,0.88,0.820538
0,0.9,0.713525
0,0.92,0.590963
0,0.94,0.455295
0,0.96,0.309396
0,0.98,0.156481
0.2,0.02,0.140046
0.2,0.04,0.277068
0.2,0.06,0.408144
0.2,0.08,0.530544
0.2,0.1,0.641825
0.2,0.12,0.739906
0.2,0.14,0.823138
0.2,0.16,0.89035
0.2,0.18,0.940891
0.2,0.2,0.974637
0.2,0.22,0.991998
0.2,0.24,0.993891
0.2,0.26,0.981701
0.2,0.28,0.957234
0.2,0.3,0.922637
0.2,0.32,0.880324
0.2,0.34,0.832885
0.2,0.36,0.782987
0.2,0.38,0.733277
0.2,0.4,0.686288
0.2,0.42,0.644339
0.2,0.44,0.609459
0.2,0.46,0.583305
0.2,0.48,0.567108
0.2,0.5,0.561624
0.2,0.52,0.567108
0.2,0.54,0.583305
0.2,0.56,0.609459
0.2,0.58,0.644339
0.2,0.6,0.686288
0.2,0.62,0.733277
0.2,0.64,0.782987
0.2,0.66,0.832885
0.2,0.68,0.880324
0.2,0.7,0.922637
0.2,0.72,0.957234
0.2,0.74,0.981701
0.2,0.76,0.993891
0.2,0.78,0.991998
0.2,0.8,0.974637
0.2,0.82,0.940891
0.2,0.84,0.89035
0.2,0.86,0.823138
0.2,0.88,0.739906
0.2,0.9,0.641825
0.2,0.92,0.530544
0.2,0.94,0.408144
0.2,0.96,0.277068
0.2,0.98,0.140046
0.4,0.02,0.126103
0.4,0.04,0.249639
0.4,0.06,0.368124
0.4,0.08,0.479238
0.4,0.1,0.580901
0.4,0.12,0.671336
0.4,0.14,0.749128
0.4,0.16,0.813267
0.4,0.18,0.863173
0.4,0.2,0.898716
0.4,0.22,0.920208
0.4,0.24,0.92839
0.4,0.26,0.924399
0.4,0.28,0.909719
0.4,0.3,0.886129
0.4,0.32,0.855628
0.4,0.34,0.820366
0.4,0.36,0.782561
0.4,0.38,0.744413
0.4,0.4,0.70803
0.4,0.42,0.675345
0.4,0.44,0.648045
0.4,0.46,0.627513
0.4,0.48,0.614773
0.4,0.5,0.610455
0.4,0.52,0.614773
0.4,0.54,0.627513
0.4,0.56,0.648045
0.4,0.58,0.675345
0.4,0.6,0.70803
0.4,0.62,0.744413
0.4,0.64,0.782561
0.4,0.66,0.820366
0.4,0.68,0.855628
0.4,0.7,0.886129
0.4,0.72,0.909719
0.4,0.74,0.924399
0.4,0.76,0.92839
0.4,0.78,0.920208
0.4,0.8,0.898716
0.4,0.82,0.863173
0.4,0.84,0.813267
0.4,0.86,0.749128
0.4,0.88,0.671336
0.4,0.9,0.580901
0.4,0.92,0.479238
0.4,0.94,0.368124
0.4,0.96,0.249639
0.4,0.98,0.126103
0.6,0.02,0.114252
0.6,0.04,0.226319
0.6,0.06,0.334088
0.6,0.08,0.435581
0.6,0.1,0.529021
0.6,0.12,0.61289
0.6,0.14,0.685968
0.6,0.16,0.747378
0.6,0.18,0.796606
0.6,0.2,0.833511
0.6,0.22,0.858328
0.6,0.24,0.87165
0.6,0.26,0.874404
0.6,0.28,0.867809
0.6,0.3,0.853333
0.6,0.32,0.832631
0.6,0.34,0.807483
0.6,0.36,0.779729
0.6,0.38,0.751198
0.6,0.4,0.723642
0.6,0.42,0.698668
0.6,0.44,0.677681
0.6,0.46,0.661831
0.6,0.48,0.65197
0.6,0.5,0.648624
0.6,0.52,0.65197
0.6,0.54,0.661831
0.6,0.56,0.677681
0.6,0.58,0.698668
0.6,0.6,0.723642
0.6,0.62,0.751198
0.6,0.64,0.779729
0.6,0.66,0.807483
0.6,0.68,0.832631
0.6,0.7,0.853333
0.6,0.72,0.867809
0.6,0.74,0.874404
0.6,0.76,0.87165
0.6,0.78,0.858328
0.6,0.8,0.833511
0.6,0.82,0.796606
0.6,0.84,0.747378
